KP [km],Distance step [m],Time [s],Elapsed time [hh:mm:ss],Speed [km/h],Acceleration [m/s²],Equivalent grade [‰],Radius [m],Speed restriction [km/h],Tractive Effort [kN],Braking Effort [kN],Resistance [kN]
0.00000000,0.00000000,0.00000000,0:00:00,0.00000000,0.43893331,0.00000000,0.00000000,30.00000000,122.04500000,0.00000000,31.91900000
0.00200000,2.00000000,2.42217081,0:00:02,5.94508032,0.68178974,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,34.35838585
0.00400000,2.00000000,0.97357825,0:00:03,8.84571845,0.82759944,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,4.41933810
0.00600000,2.00000000,0.72536191,0:00:04,11.00644069,0.82744988,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,4.45004715
0.00800000,2.00000000,0.60468901,0:00:04,12.80745325,0.82733646,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,4.47333619
0.01000000,2.00000000,0.52956764,0:00:05,14.38454071,0.82724060,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,4.49301793
0.01200000,2.00000000,0.47698802,0:00:05,15.80489678,0.82715569,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,4.51045400
0.01400000,2.00000000,0.43752357,0:00:06,17.10761549,0.82707842,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,4.52631824
0.01600000,2.00000000,0.40648759,0:00:06,18.31782044,0.82700691,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,4.54100269
0.01800000,2.00000000,0.38124878,0:00:06,19.45279185,0.82693991,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,4.55475929
0.02000000,2.00000000,0.36019982,0:00:07,20.52501870,0.82687659,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,4.56776133
0.02200000,2.00000000,0.34229567,0:00:07,21.54387503,0.82681633,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,4.58013406
0.02400000,2.00000000,0.32682346,0:00:07,22.51660989,0.82675868,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,4.59197149
0.02600000,2.00000000,0.31327792,0:00:08,23.44896627,0.82670328,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,4.60334630
0.02800000,2.00000000,0.30128957,0:00:08,24.34558579,0.82664985,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,4.61431610
0.03000000,2.00000000,0.29058112,0:00:08,25.21028356,0.82659817,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,4.62492744
0.03200000,2.00000000,0.28093985,0:00:09,26.04624057,0.82654805,0.00000000,650.00000000,30.00000000,174.35000000,0.00000000,4.63521857
